"ID","MODOMICS code","Name","Reference NucleoBase","Short Name","New RNAMods code","Old RNAMods code","Moiety type"
"201","0551C","O2'-methylcytidine-5'-monophosphate","Cytidine","pCm","B","B","nucleotide"
"202","553G","guanosine-5'-triphosphate","Guanosine","pppG","Ȝ","","nucleotide"
"203","7551G","7N-methyl-8-hydroguanosine-5'-monophosphate","Guanosine","pm7G","7","7","nucleotide"
"204","1551A","N(1)-methyladenosine 5'-monophosphate","Adenosine","pm1A","Ѣ","""","nucleotide"
"205","0551U","O2'-methyluridine 5'-monophosphate","Uridine","pUm","J","J","nucleotide"
"207","0551A","2'-O-methyladenosine 5'-(dihydrogen phosphate)","Adenosine","pAm","ʍ",":","nucleotide"
"208","04551C","4N,O2'-methylcytidine-5'-monophosphate","Cytidine","pm4Cm","λ","Λ","nucleotide"
"209","3377C","cytidine-5'-phosphate-2',3'-cyclic phosphate","Cytidine","pC2'3'cp","Ҏ","","nucleotide"
"211","6551A","N6-methyladenosine-5'-monophosphate","Adenosine","pm6A","Ж","=","nucleotide"
"213","3483551G","wybutosine-5'-monophosphate","Guanosine","pyW","Y","Y","nucleotide"
"214","1551G","1N-methylguanosine-5'-monophosphate","Guanosine","pm1G","K","K","nucleotide"
"215","3377A","adenosine-5'-phosphate-2',3'-cyclic phosphate","Adenosine","pA2'3'cp","Ҕ","","nucleotide"
"216","74551U","4-thiouridine-5'-monophosphate","Uridine","ps4U","4","4","nucleotide"
"217","9551A","inosine-5'-monophosphate","Adenosine","pI","I","I","nucleotide"
"218","552G","guanosine-5'-diphosphate","Guanosine","ppG","","","nucleotide"
"219","2551A","2-methyladenosine-5'-monophosphate","Adenosine","pm2A","ɿ","/","nucleotide"
"223","2521551U","5-(O-methylaceto)-2-thio-2-deoxy-uridine-5'-monophosphate","Uridine","pmcm5s2U","3","3","nucleotide"
"230","20551U","1-(5-O-phosphono-beta-D-ribofuranosyl)-2-selanylpyrimidin-4(1H)-one","Uridine","pse2U","ω","","nucleotide"
"231","62551A","N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pt6A","6","6","nucleotide"
"232","71551C","5-formylcytidine 5'-(dihydrogen phosphate)","Cytidine","pf5C",">",">","nucleotide"
"233","553A","adenosine-5'-triphosphate","Adenosine","pppA","ƿ","","nucleotide"
"235","551G","guanosine-5'-monophosphate","Guanosine","pG","","G","nucleotide"
"238","3377G","guanoside-5'-phosphate-2',3'-cyclic phosphate","Guanosine","pG2'3'cp","Ґ","","nucleotide"
