"ID","MODOMICS code","Name","Reference NucleoBase","Short Name","SMILES","RNAMods code","Moiety type"
"94","20U","2-selenouridine","Uridine","se2U","O[C@H]1[C@H]([n]2ccc(=O)[nH]c2=[Se])O[C@H](CO)[C@H]1O","ω","nucleoside"
"95","100000G","7-cyano-7-carbaguanine","Guanosine","preQ0base","Nc1[nH]c(=O)c2c(c[nH]c2n1)C#N","ψ","base"
"96","6A","N6-methyladenosine","Adenosine","m6A","CNc1ncnc2c1nc[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","=","nucleoside"
"97","34830G","hydroxywybutosine","Guanosine","OHyW","C[n]1c2c(nc[n]2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[n]2c1nc(C)c2CC(O)C(NC(OC)=O)C(OC)=O","⊆","nucleoside"
"98","X","unknown modification","Unknown","xX","-","@","nucleoside"
"99","103G","archaeosine","Guanosine","G+","Nc1[nH]c(=O)c2c(c[n]([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)C(N)=N","(","nucleoside"
"100","2U","2-thiouridine","Uridine","s2U","O[C@H]1[C@H]([n]2ccc(=O)[nH]c2=S)O[C@H](CO)[C@H]1O","2","nucleoside"
"101","21C","2-lysidine","Cytidine","k2C","N[C@H](C(=O)O)CCCCN=c1[n]([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)ccc(N)n1","}","nucleoside"
"102","02G","N2,2'-O-dimethylguanosine","Guanosine","m2Gm","CO[C@H]1[C@H]([n]2cnc3c2nc([nH]c3=O)NC)O[C@H](CO)[C@H]1O","γ","nucleoside"
"103","09U","2'-O-methylpseudouridine","Uridine","Ym","CO[C@H]1[C@H](c2c[nH]c(=O)[nH]c2=O)O[C@H](CO)[C@H]1O","Ζ","nucleoside"
"104","071C","5-formyl-2'-O-methylcytidine","Cytidine","f5Cm","CO[C@H]1[C@H]([n]2cc(C=O)c(N)nc2=O)O[C@H](CO)[C@H]1O","°","nucleoside"
"105","10000G","queuine","Guanosine","Qbase","NC1NC(=O)c2c(c[nH]c2N=1)CN[C@@H]1[C@@H](O)[C@@H](O)C=C1","∴","base"
"106","042C","N4-acetyl-2'-O-methylcytidine","Cytidine","ac4Cm","CO[C@H]1[C@H]([n]2c(=O)nc(NC(=O)C)cc2)O[C@H](CO)[C@H]1O","ℵ","nucleoside"
"108","4G","4-demethylwyosine","Guanosine","imG-14","Cc1c[n]2c(c3nc[n]([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3[nH]c2n1)=O","†","nucleoside"
"109","A","adenosine","Adenosine","A","Nc1ncnc2c1nc[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","A","nucleoside"
"110","2511U","5-methylaminomethyl-2-thiouridine","Uridine","mnm5s2U","CNCc1c[n]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","S","nucleoside"
"111","227G","N2,N2,7-trimethylguanosine","Guanosine","m2,2,7G","CN(c1nc(=O)c2c([n]([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)c[n+]2C)n1)C","∠","nucleoside"
"112","348G","7-aminocarboxypropylwyosine methyl ester","Guanosine","yW-58","C[n]1c2nc(C)c(CCC(N)C(OC)=O)[n]2c(=O)c2nc[n]([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c12","⇑","nucleoside"
"113","9A","inosine","Adenosine","I","OC[C@@H]1[C@@H](O)[C@@H](O)[C@H]([n]2c3nc[nH]c(=O)c3nc2)O1","I","nucleoside"
"114","65A","N6-glycinylcarbamoyladenosine","Adenosine","g6A","OC(CNC(Nc1ncnc2c1nc[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)=O)=O","≡","nucleoside"
"115","510U","5-aminomethyluridine","Uridine","nm5U","NCc1c(=O)[nH]c(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)c1","∪","nucleoside"
"116","7G","7-methylguanosine","Guanosine","m7G","[C@@H]1([n]2c[n+](C)c3c2nc(nc3=O)N)O[C@H](CO)[C@@H](O)[C@H]1O","7","nucleoside"
"117","02U","2-thio-2'-O-methyluridine","Uridine","s2Um","CO[C@H]1[C@H]([n]2ccc(=O)[nH]c2=S)O[C@H](CO)[C@H]1O","∏","nucleoside"
"118","9U","pseudouridine","Uridine","Y","OC[C@H]1O[C@@H](c2c[nH]c(=O)[nH]c2=O)[C@H](O)[C@@H]1O","P","nucleoside"
"119","51C","5-hydroxymethylcytidine","Cytidine","hm5C","Nc1nc(=O)[n]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1CO","∅","nucleoside"
"120","100G","7-cyano-7-deazaguanosine","Guanosine","preQ0","Nc1[nH]c(=O)c2c(c[n]([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)C#N","φ","nucleoside"
"121","34832G","peroxywybutosine","Guanosine","o2yW","C[n]1c2c(nc[n]2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[n]2c1nc(C)c2CC(OO)C(NC(OC)=O)C(OC)=O","W","nucleoside"
"122","05U","5,2'-O-dimethyluridine","Uridine","m5Um","CO[C@H]1[C@H]([n]2c(=O)[nH]c(=O)c(C)c2)O[C@H](CO)[C@H]1O","\","nucleoside"
"123","101G","7-aminomethyl-7-deazaguanosine","Guanosine","preQ1","Nc1[nH]c(=O)c2c(CN)c[n]([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1","∉","nucleoside"
"124","066A","N6,N6,2'-O-trimethyladenosine","Adenosine","m6,6Am","CN(C)c1ncnc2c1nc[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC","η","nucleoside"
"125","64A","N6-acetyladenosine","Adenosine","ac6A","CC(Nc1ncnc2c1nc[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)=O","⇓","nucleoside"
"126","2160A","2-methylthio-N6-(cis-hydroxyisopentenyl) adenosine","Adenosine","ms2io6A","CC(CO)=CCNc1nc(SC)nc2c1nc[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","≠","nucleoside"
"127","0A","2'-O-methyladenosine","Adenosine","Am","CO[C@H]1[C@H]([n]2cnc3c2ncnc3N)O[C@H](CO)[C@H]1O",":","nucleoside"
"128","09A","2'-O-methylinosine","Adenosine","Im","CO[C@H]1[C@H]([n]2cnc3c2nc[nH]c3=O)O[C@H](CO)[C@H]1O","≤","nucleoside"
"129","511U","5-methylaminomethyluridine","Uridine","mnm5U","CNCc1c(=O)[nH]c(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)c1","{","nucleoside"
"130","62A","N6-threonylcarbamoyladenosine","Adenosine","t6A","CC(O)C(N)C(NC(Nc1ncnc2c1nc[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)=O)=O","6","nucleoside"
"131","8A","8-methyladenosine","Adenosine","m8A","Cc1nc2c(N)ncnc2[n]1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","â","nucleoside"
