"ID","MODOMICS code","Name","Reference NucleoBase","Short Name","SMILES","RNAMods code","Moiety type"
"185","9551U","pseudouridine-5'-monophosphate","Uridine","pY","O=c1[nH]cc([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1","P","nucleotide"
"186","5551C","5-methylcytidine-5'-monophosphate","Cytidine","pm5C","Cc1c(N)nc(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c1","?","nucleotide"
"187","2551U","1-(beta-D-ribofuranosyl)-2-thio-uracil-5'-phosphate","Uridine","ps2U","O=c1cc[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]1","2","nucleotide"
"188","2000000010U","5-bromo-uridine-5'-monophosphate","Uridine","5BU","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(Br)C(NC1=O)=O)(=O)[O-]","㑐","nucleotide"
"189","3000000046C","[(1R,3R,4R,7S)-7-hydroxy-3-(5-methylcytosin-1-YL)-2,5-dioxabicyclo[2.2.1]hept-1-YL]methyl dihydrogen phosphate","Cytidine","LCC","[O-]P(OC[C@]12CO[C@H]([C@@H]1O)[C@@H](O2)N1C(N=C(N)C(=C1)C)=O)(=O)[O-]","㐱","nucleotide"
"190","8551U","5,6-dihydrouridine-5'-monophosphate","Uridine","pD","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C(NC(=O)CC1)=O)(=O)[O-]","D","nucleotide"
"191","2551G","2N-methylguanosine-5'-monophosphate","Guanosine","pm2G","CNc1nc2c(nc[n]2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1","L","nucleotide"
"192","66551A","6N-dimethyladenosine-5'-monophosphate","Adenosine","pm6,6A","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2N(C)C)(=O)[O-]","","nucleotide"
"193","0551G","O2'-methylguanosine-5'-monophosphate","Guanosine","pGm","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cnc2c(=O)[nH]c(N)nc12","#","nucleotide"
"194","5551U","5-methyluridine-5'-monophosphate","Uridine","pm5U","[C@H]1([n]2cc(C)c(=O)nc2=O)[C@H](O)[C@H](O)[C@@H](COP([O-])([O-])=O)O1","T","nucleotide"
"195","1000000005X","2-amino-9-[2-deoxyribofuranosyl]-9H-purine-5'-monophosphate","Unknown","2PR","[O-]P(OC[C@H]1O[C@H](C[C@@H]1O)[n]1c[n]c2c1[n]c(N)[n]c2)(=O)[O-]","㐈","nucleotide"
"196","2000000055X","1-(beta-D-ribofuranosyl)-pyridin-4-one-5'-phosphate","Unknown","ONE","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)C=C1)(=O)[O-]","㑊","nucleotide"
"197","2000000058X","1-(beta-D-ribofuranosyl)-pyrimidin-2-one-5'-phosphate","Unknown","PYO","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C(N=CC=C1)=O)(=O)[O-]","㑋","nucleotide"
"198","22551G","N2-dimethylguanosine-5'-monophosphate","Guanosine","pm2,2G","CN(C)c1nc2c(nc[n]2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1","R","nucleotide"
"199","3551U","3-methyluridine-5'-monophosphate","Uridine","pm3U","C[n]1c(=O)cc[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1=O","","nucleotide"
"200","42551C","N(4)-acetylcytidine-5'-monophosphate","Cytidine","pac4C","CC(Nc1nc(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)cc1)=O","M","nucleotide"
"201","0551C","O2'-methylcytidine-5'-monophosphate","Cytidine","pCm","CO[C@H]1[C@H]([n]2c(=O)nc(N)cc2)O[C@H](COP(=O)([O-])[O-])[C@H]1O","B","nucleotide"
"202","553G","guanosine-5'-triphosphate","Guanosine","pppG","[C@H]1([n]2cnc3c2nc(nc3=O)N)[C@H](O)[C@H](O)[C@@H](CO[P@](O[P@@]([O-])(=O)OP([O-])([O-])=O)(=O)[O-])O1","","nucleotide"
"203","7551G","7N-methyl-8-hydroguanosine-5'-monophosphate","Guanosine","pm7G","C[n+]1c2c(nc(nc2=O)N)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c1","7","nucleotide"
"204","1551A","N(1)-methyladenosine 5'-monophosphate","Adenosine","pm1A","C[n]1c(=N)c2c([n]([C@H]3[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O3)cn2)nc1","""","nucleotide"
"205","0551U","O2'-methyluridine 5'-monophosphate","Uridine","pUm","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1ccc(=O)[nH]c1=O","J","nucleotide"
"206","2000000031C","5-bromocytidine 5'-(dihydrogen phosphate)","Cytidine","CBV","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(Br)C(N)=NC1=O)(=O)[O-]","㐬","nucleotide"
"207","0551A","2'-O-methyladenosine 5'-(dihydrogen phosphate)","Adenosine","pAm","[O-]P(OC[C@H]1O[C@@H]([n]2c3[n]c[n]c(N)c3[n]c2)[C@@H]([C@@H]1O)OC)(=O)[O-]",":","nucleotide"
"208","04551C","4N,O2'-methylcytidine-5'-monophosphate","Cytidine","pm4Cm","CNc1cc[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2OC)c(=O)n1","Λ","nucleotide"
"209","3377C","cytidine-5'-phosphate-2',3'-cyclic phosphate","Cytidine","pC2'3'cp","Nc1cc[n]([C@H]2[C@@H]3O[P@]([O-])(=O)O[C@@H]3[C@@H](COP([O-])([O-])=O)O2)c(=O)n1","","nucleotide"
"210","3000000047G","[(1R,3R,4R,7S)-7hydroxy-3-(guanin-9-YL)-2,5-dioxabicyclo[2.2.1]hept-1-YL]methyl dihydrogen phosphate","Guanosine","LCG","[O-]P(OC[C@]12CO[C@H]([C@@H]1O)[C@@H](O2)[n]1c[n]c2C(=O)NC(N)=Nc21)(=O)[O-]","㐹","nucleotide"
"211","6551A","N6-methyladenosine-5'-monophosphate","Adenosine","pm6A","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2NC)(=O)[O-]","=","nucleotide"
"213","3483551G","wybutosine-5'-monophosphate","Guanosine","pyW","COC(N[C@@H](C(OC)=O)CCc1[n]2c([n](c3c(c2=O)nc[n]3[C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)C)nc1C)=O","Y","nucleotide"
"214","1551G","1N-methylguanosine-5'-monophosphate","Guanosine","pm1G","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1N=C(N)N(C2=O)C)(=O)[O-]","K","nucleotide"
"215","3377A","adenosine-5'-phosphate-2',3'-cyclic phosphate","Adenosine","pA2'3'cp","[O-][P@@]1(O[C@H]2[C@@H](O[C@H](COP(=O)([O-])[O-])[C@H]2O1)[n]1c[n]c2c1[n]c[n]c2N)=O","","nucleotide"
"216","74551U","4-thiouridine-5'-monophosphate","Uridine","ps4U","O=c1[nH]c(=S)cc[n]1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O","4","nucleotide"
"217","9551A","inosine-5'-monophosphate","Adenosine","pI","O[C@H]1[C@@H](O)[C@H]([n]2c3ncnc(=O)c3nc2)O[C@@H]1COP(=O)([O-])[O-]","I","nucleotide"
"218","552G","guanosine-5'-diphosphate","Guanosine","ppG","[O-][P@@](OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2C(=O)NC(N)=Nc21)(OP([O-])(=O)[O-])=O","","nucleotide"
"219","2551A","2-methyladenosine-5'-monophosphate","Adenosine","pm2A","Cc1nc2c(nc[n]2[C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(N)n1","/","nucleotide"
"220","1000000030C","5-bromo-2'-deoxy-cytidine-5'-monophosphate","Cytidine","CBR","[O-]P(OC[C@H]1O[C@@H](N2C(=O)N=C(N)C(Br)=C2)C[C@@H]1O)(=O)[O-]","㐆","nucleotide"
"221","2000000056X","purine roboside-5'-monophosphate","Unknown","P5P","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2)(=O)[O-]","㐣","nucleotide"
"222","1000000026G","8-bromo-2'-deoxyguanosine-5'-monophosphate","Guanosine","BGM","[O-]P(OC[C@H]1O[C@@H]([n]2c(Br)[n]c3C(NC(N)=Nc23)=O)C[C@@H]1O)(=O)[O-]","㐉","nucleotide"
"223","2521551U","5-(O-methylaceto)-2-thio-2-deoxy-uridine-5'-monophosphate","Uridine","pmcm5s2U","COC(=O)Cc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","3","nucleotide"
"224","5000000065U","uridine 5'-monothiophosphate","Uridine","U37","O[C@@H]1[C@@H](COP(=O)([S-])[O-])O[C@@H](N2C(=O)NC(=O)C=C2)[C@@H]1O","㑕","nucleotide"
"225","2000000008X","(1S)-1,4-anhydro-1-(3-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)-5-O-phosphono-D-ribitol","Unknown","3TD","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)N(C1=O)C)(=O)[O-]","㑂","nucleotide"
"226","2000000044U","5-iodouridine-5'-monophosphate","Uridine","IU","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(I)C(NC1=O)=O)(=O)[O-]","㑑","nucleotide"
"227","3000000064U","[(1R,3R,4R,7S)-7-hydroxy-3-(thymin-1-YL)-2,5-dioxabicyclo[2.2.1]hept-1-YL]methyl dihydrogen phosphate","Uridine","TLN","[O-]P(OC[C@]12CO[C@H]([C@@H]1O)[C@@H](O2)N1C(NC(=O)C(=C1)C)=O)(=O)[O-]","㑒","nucleotide"
"228","3000000045A","[(1R,3R,4R,7S)-7-hydroxy-3-(adenin-9-YL)-2,5-dioxabicyclo[2.2.1]hept-1-YL]methyl dihydrogen phosphate","Adenosine","LCA","[O-]P(OC[C@]12CO[C@H]([C@@H]1O)[C@@H](O2)[n]1c[n]c2c1[n]c[n]c2N)(=O)[O-]","㐜","nucleotide"
"229","2000000077X","1-(5-O-phosphono-beta-D-ribofuranosyl)-4-selanylpyrimidin-2(1H)-one","Unknown","US5","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C(N=C([SeH])C=C1)=O)(=O)[O-]","㑉","nucleotide"
"230","20551U","1-(5-O-phosphono-beta-D-ribofuranosyl)-2-selanylpyrimidin-4(1H)-one","Uridine","pse2U","O[C@@H]1[C@@H](COP(=O)([O-])[O-])O[C@@H]([n]2c(=[Se])[nH]c(=O)cc2)[C@@H]1O","","nucleotide"
"231","62551A","N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pt6A","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2NC(=O)N[C@H](C(O)=O)[C@H](O)C)(=O)[O-]","6","nucleotide"
"232","71551C","5-formylcytidine 5'-(dihydrogen phosphate)","Cytidine","pf5C","Nc1nc(=O)[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1C=O",">","nucleotide"
"233","553A","adenosine-5'-triphosphate","Adenosine","pppA","[O-][P@](OP(=O)([O-])[O-])(O[P@]([O-])(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2N)=O)=O","","nucleotide"
"234","1000000027U","5-bromo-2'-deoxyuridine-5'-monophosphate","Uridine","BRU","[O-]P(OC[C@H]1O[C@@H](N2C(=O)NC(=O)C(Br)=C2)C[C@@H]1O)(=O)[O-]","㐍","nucleotide"
"235","551G","guanosine-5'-monophosphate","Guanosine","pG","Nc1nc2c(nc[n]2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1","G","nucleotide"
"236","2000000043G","isoguanosine-5'-monophosphate","Guanosine","IG","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2C1=NC(=O)NC=2N)(=O)[O-]","㐾","nucleotide"
"237","2000000042C","isocytidine-5'-monophosphate","Cytidine","IC","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C(N)=NC(=O)C=C1)(=O)[O-]","㐳","nucleotide"
"238","3377G","guanoside-5'-phosphate-2',3'-cyclic phosphate","Guanosine","pG2'3'cp","[C@H]1([n]2cnc3c2nc(nc3=O)N)[C@@H]2O[P@]([O-])(=O)O[C@@H]2[C@@H](COP([O-])([O-])=O)O1","","nucleotide"
"239","5000000006G","guanosine phosphorodithioate","Guanosine","2SG","NC1NC(=O)c2nc[n]([C@H]3[C@H](O)[C@H](O)[C@@H](COP(=O)([S-])[S-])O3)c2N=1","㐻","nucleotide"
"240","2161551A","2-methylthio-N6-isopentenyl-adenosine-5'-monophosphate","Adenosine","pms2i6A","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c(SC)[n]c2NCC=C(C)C)(=O)[O-]","*","nucleotide"
"241","502551U","5-(carboxymethoxy) uridine-5'-monophosphate","Uridine","pcmo5U","O[C@@H]1[C@@H](COP(=O)([O-])[O-])O[C@@H]([n]2c(=O)[nH]c(=O)c(OCC(=O)O)c2)[C@@H]1O","V","nucleotide"
"242","3000000017C","2'-amine-cytidine-5'-monophosphate","Cytidine","A5M","[O-]P(OC[C@H]1O[C@H]([C@H](N)[C@@H]1O)N1C(N=C(N)C=C1)=O)(=O)[O-]","㐧","nucleotide"
"243","5000000062A","adenosine-5'-thio-monophosphate","Adenosine","SRA","Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=S)[C@@H](O)[C@H]1O","㐢","nucleotide"
"244","34831551G","wybutosine[C15(S)]-5'-monophosphate","Guanosine","pyyW","COC(N[C@H](C(OC)=O)CCc1[n]2c([n](c3c(c2=O)nc[n]3[C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)C)nc1C)=O","","nucleotide"
"245","","(D)-2'-methylselenyl-2'-deoxycytidine-5'-phosphate","Cytidine","--","Nc1cc[n]([C@@H]2O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]2[Se]C)c(=O)n1","","nucleotide"
"246","2000000053X","(1S)-1,4-anhydro-1-(2,4-difluoro-5-methylphenyl)-5-O-phosphono-D-ribitol","Unknown","NF2","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c1c(F)cc(F)c(c1)C)(=O)[O-]","㑁","nucleotide"
"247","2000000060C","5'-3,6-dihydrocytidylic acid","Cytidine","RY","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CC=C(N)NC1=O)(=O)[O-]","㐪","nucleotide"
"248","2000000011C","5-fluorocytidine 5'-(dihydrogen phosphate)","Cytidine","5CF","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(N)=NC1=O)(=O)[O-]","㐭","nucleotide"
"249","2000000040G","8-bromoguanosine 5'-(dihydrogen phosphate)","Guanosine","GRB","[O-]P(OC[C@H]1O[C@@H]([n]2c(Br)[n]c3C(NC(N)=Nc23)=O)[C@H](O)[C@@H]1O)(=O)[O-]","㐸","nucleotide"
"250","44551C","[(2~{R},3~{S},4~{R},5~{R})-5-[4-(dimethylamino)-2-oxidanylidene-pyrimidin-1-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methyl dihydrogen phosphate","Cytidine","pm4,4C","CN(c1nc(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)cc1)C","","nucleotide"
"251","","2'-deoxyinosine-5'-monophosphate","Adenosine","","[C@H]1([n]2cnc3c2ncnc3=O)C[C@H](O)[C@@H](COP([O-])([O-])=O)O1","","nucleotide"
"253","61551A","N6-isopentenyl-adenosine-5'-monophosphate","Adenosine","pi6A","CC(=CCNc1c2c([n]([C@H]3[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O3)cn2)ncn1)C","+","nucleotide"
"254","51551C","5-(hydroxymethyl)cytidine 5'-(dihydrogen phosphate)","Cytidine","phm5C","Nc1nc(=O)[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1CO","","nucleotide"
"255","551U","uridine-5'-monophosphate","Uridine","pU","O=c1cc[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1","U","nucleotide"
"256","00551A","2'-O-[(5'-phospho)ribosyl]adenosine-5'-monophosphate","Adenosine","pAr(p)","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1c[n]c2c1[n]c[n]c2N)(=O)[O-]","^","nucleotide"
"257","042551C","[(2~{R},3~{R},4~{R},5~{R})-5-(4-acetamido-2-oxidanylidene-pyrimidin-1-yl)-4-methoxy-3-oxidanyl-oxolan-2-yl]methyl dihydrogen phosphate","Cytidine","pac4Cm","CO[C@H]1[C@H]([n]2c(=O)nc(NC(=O)C)cc2)O[C@H](COP(=O)([O-])[O-])[C@H]1O","ℵ","nucleotide"
"258","2000000025X","[(2~{R},3~{S},4~{R},5~{S})-5-[1-methyl-2,4-bis(oxidanylidene)pyrimidin-5-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methyl dihydrogen phosphate","Unknown","B8H","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1C(NC(=O)N(C=1)C)=O)(=O)[O-]","㑓","nucleotide"
"259","33551G","guanosine-3',5'-diphosphate","Guanosine","pGp","[C@H]1([n]2cnc3c2nc(nc3=O)N)[C@H](O)[C@H](OP([O-])([O-])=O)[C@@H](COP([O-])([O-])=O)O1","","nucleotide"
"260","3000000028X","(5S)-5-{3-[(3S)-3-amino-3-carboxypropyl]-1-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl}-2,5-anhydro-1-O-phosphono-L-arabinitol","Unknown","C4J","[O-]P(OC[C@@H]1O[C@H]([C@H](O)[C@@H]1O)C1C(N(CC[C@H](N)C(O)=O)C(=O)N(C=1)C)=O)(=O)[O-]","㑄","nucleotide"
"261","","2'-deoxy-2'-fluoroadenosine 5'-(dihydrogen phosphate)","Adenosine","ppp","[O-]P(OC[C@H]1O[C@H]([C@H](F)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2N)(=O)[O-]","","nucleotide"
"262","2000000037G","guanine arabinose-5'-phosphate","Guanosine","GAO","[O-]P(OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)[n]1c[n]c2C(=O)NC(N)=Nc21)(=O)[O-]","㐺","nucleotide"
"263","3000000063G","2-azanyl-9-[(2~{R},3~{R},4~{S})-3-oxidanyl-4-[oxidanyl-bis(oxidanylidene)-$l^{6}-phosphanyl]oxy-oxolan-2-yl]-1~{H}-purin-6-one","Guanosine","TG","NC1NC(=O)c2nc[n]([C@H]3[C@H](O)[C@@H](OP(=O)([O-])[O-])CO3)c2N=1","㐶","nucleotide"
"264","3000000075U","((2S,3S,4R,5R)-5-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)-3-(2- ((((2R,5R)-5-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)- 3,4-dihydroxytetrahydrofuran-2-yl)methyl)amino)-2-oxoethyl)-4- hydroxytetrahydrofuran-2-yl)methyl phosphate","Uridine","URU","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1CC(NC[C@H]1O[C@@H](N2C(=O)NC(=O)C=C2)[C@H](O)[C@@H]1O)=O)N1C(NC(=O)C=C1)=O)(=O)[O-]","㐿","nucleotide"
"265","5000000022A","adenosine-5'-(dithio)phosphate","Adenosine","ADS","[S-]P(OC[C@@H]1[C@H]([C@@H](O)[C@@H](O1)[n]1c[n]c2c1[n]c[n]c2N)O)(=O)[S-]","㐡","nucleotide"
"266","3000000004A","2'-amino-2'-deoxyadenosine","Adenosine","2AD","N[C@H]1[C@H]([n]2c3c(c([n]c[n]3)N)[n]c2)O[C@H](COP(=O)([O-])[O-])[C@H]1O","㐑","nucleotide"
"267","3000000001C","4-amino-1-{2,5-anhydro-4-[(phosphonooxy)methyl]-alpha-L-lyxofuranosyl}pyrimidin-2(1H)-one","Cytidine","10C","[O-]P(OC[C@]12O[C@@H](N3C(=O)N=C(N)C=C3)[C@H](OC1)[C@@H]2O)(=O)[O-]","㐩","nucleotide"
"268","3377551U","uridine-5'-monophosphate-2',3'-cyclic phosphate","Uridine","pU2'3'cp","[O-]P1(O[C@H]2[C@@H](O[C@H](COP(=O)([O-])[O-])[C@H]2O1)N1C(NC(=O)C=C1)=O)=O","","nucleotide"
"269","3000000070U","2'-F,4'-beta-OMe Uridine 5'-(dihydrogen phosphate)","Uridine","UFB","[O-]P(OC[C@@]1(O[C@@H](N2C(=O)NC(=O)C=C2)[C@H](F)[C@@H]1O)OC)(=O)[O-]","㑍","nucleotide"
"271","3000000015A","3'-amino-3'-deoxyadenosine 5'-(dihydrogen phosphate)","Adenosine","8AN","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1N)[n]1c[n]c2c1[n]c[n]c2N)(=O)[O-]","㐓","nucleotide"
"272","3000000067U","1-(2,6-dideoxy-2-fluoro-5-O-phosphono-alpha-L-talofuranosyl)pyrimidine-2,4(1H,3H)-dione","Uridine","U5M","[O-]P(O[C@@H](C)[C@H]1O[C@@H](N2C(=O)NC(=O)C=C2)[C@H](F)[C@@H]1O)(=O)[O-]","㑇","nucleotide"
"273","3000000074U","2'-OMe,4'beta-OMe uridine 5'-(dihydrogen phosphate)","Uridine","UOB","[O-]P(OC[C@]1(OC)O[C@@H](N2C(=O)NC(=O)C=C2)[C@@H]([C@@H]1O)OC)(=O)[O-]","㑏","nucleotide"
"274","1000000038G","3'-deoxyguanosine 5'-monophosphate","Guanosine","GDO","[O-]P(OC[C@H]1O[C@H]([C@H](O)C1)[n]1c[n]c2C(=O)NC(N)=Nc21)(=O)[O-]","㐷","nucleotide"
"275","3000000039G","2-amino-9-(6-deoxy-5-O-phosphono-beta-D-allofuranosyl)-3,9-dihydro-6H-purin-6-one","Guanosine","GMX","[O-]P(O[C@H](C)[C@H]1O[C@@H]([n]2c3NC(N)=NC(=O)c3[n]c2)[C@H](O)[C@@H]1O)(=O)[O-]","㐵","nucleotide"
"276","3000000061C","4'-thio-4'-deoxy-cytosine-5'-monophosphate","Cytidine","S4C","[O-]P(OC[C@H]1S[C@H]([C@H](O)[C@@H]1O)N1C(N=C(N)C=C1)=O)(=O)[O-]","㐨","nucleotide"
"277","2000000020X","3-ethynyl-1-(5-O-phosphono-beta-D-ribofuranosyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine","Unknown","A7E","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1[n]c(c2c1[n]c[n]c2N)C#C)(=O)[O-]","㐖","nucleotide"
"278","2000000014X","1-(5-O-phosphono-beta-D-ribofuranosyl)-3-(1H-1,2,3-triazol-5-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine","Unknown","7AT","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1[n]c(c2c1[n]c[n]c2N)-c1[nH][n][n]c1)(=O)[O-]","㐐","nucleotide"
"279","5000000013C","5'-O-[(dithiophosphono)]cytidine","Cytidine","73W","NC1C=CN([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=S)([S-])[O-])O2)C(=O)N=1","㐫","nucleotide"
"280","3000000072U","2'-F-4'-OMe uridine 5'-monophosphate","Uridine","UMO","[O-]P(OC[C@]1(O[C@@H](N2C(=O)NC(=O)C=C2)[C@H](F)[C@@H]1O)OC)(=O)[O-]","㑎","nucleotide"
"281","4551C","4-methyl, cytidine-5'-monophosphate","Cytidine","pm4C","CNc1nc(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)cc1","","nucleotide"
"282","2000000054X","[(2~{R},3~{S},4~{R},5~{R})-5-(2-azanyl-6-diazanyl-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxyphosphinic acid","Unknown","O2Z","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c(N)[n]c2NN)(=O)[O-]","㐞","nucleotide"
"283","3000000078G","2'-SE-methyl-2'-selenoguanosine 5'-(dihydrogen phosphate)","Guanosine","XUG","[O-]P(OC[C@H]1O[C@@H]([n]2c3N=C(N)NC(=O)c3[n]c2)[C@@H]([C@@H]1O)[Se]C)(=O)[O-]","㐇","nucleotide"
"284","3000000068U","1-(2,6-dideoxy-2-fluoro-5-O-phosphono-beta-D-allofuranosyl)pyrimidine-2,4(1H,3H)-dione","Uridine","U5R","[O-]P(O[C@H](C)[C@H]1O[C@@H](N2C(=O)NC(=O)C=C2)[C@H](F)[C@@H]1O)(=O)[O-]","㑈","nucleotide"
"285","2000000002X","N1-deaza-adenosine-5'-monophosphate","Unknown","1DP","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c2c([n]c1)c(N)cc[n]2)(=O)[O-]","㐚","nucleotide"
"286","333000012Y","(2~{R})-2-azanyl-4-[5-[(2~{S},3~{R},4~{S},5~{R})-3,4-bis(oxidanyl)-5-(phosphonooxymethyl)oxolan-2-yl]-3-methyl-2,6-bis(oxidanylidene)pyrimidin-1-yl]butanoic acid","Uridine","B8N","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1C(N(CC[C@@H](N)C(O)=O)C(=O)N(C=1)C)=O)(=O)[O-]","㑃","nucleotide"
"287","2000000019X","3-[1-(4-bromophenyl)-1H-1,2,3-triazol-4-yl]-1-[5-O-(trihydroxy-lambda~5~-phosphanyl)-beta-D-ribofuranosyl]-1H-pyrazolo[3,4-d]pyrimidin-4-amine","Unknown","A7C","Nc1c2c([n]([C@H]3[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O3)[n]c2-c2[n][n][n](-c3ccc(Br)cc3)c2)[n]c[n]1","㐕","nucleotide"
"288","3000000066U","1-{2,5-dideoxy-2-fluoro-4-[(phosphonooxy)methyl]-alpha-L-lyxofuranosyl}pyrimidine-2,4(1H,3H)-dione","Uridine","U4M","[O-]P(OC[C@]1(O[C@@H](N2C(=O)NC(=O)C=C2)[C@H](F)[C@@H]1O)C)(=O)[O-]","㑌","nucleotide"
"290","3000000057A","puromycin-5'-monophosphate","Adenosine","PPU","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1NC([C@@H](N)Cc1ccc(OC)cc1)=O)[n]1c[n]c2c1[n]c[n]c2N(C)C)(=O)[O-]","㐤","nucleotide"
"291","2000000034C","N3-protonated cytidine-5'-monophosphate","Cytidine","CH","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N+]1=CC=C(N)NC1=O)(=O)[O-]","㐰","nucleotide"
